,name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
248,KSH Investment and Development JSC,0.0024443279808567093,5827,9,0,3,6,37,0,2,0
249,Rusal Sayanogorskiy Alyumny Zavod AO (P),0.002431786229470555,3174,3,0,8,8,1,0,0,0
250,"Jiangsu Wuzhong Industrial Co., Ltd",0.002419133454993683,4790,8,0,0,13,26,0,1,0
251,"ANADIGICS, Inc.",0.0024051291175283766,4357,5,0,0,12,2,0,3,0
252,Hua Hong Semiconductor Ltd,0.0023770392780885588,2902,4,0,0,3,0,0,2,0
253,Siltronic AG,0.00229519639631357,3634,3,0,0,4,2,0,1,0
254,"Pacific Metals Co., Ltd.",0.002291127167053506,3079,12,0,1,11,92,0,1,0
255,Rising Nonferrous Metals Share Co Ltd,0.002263336905805765,4033,9,0,5,5,95,0,0,0
256,Binh Dinh Minerals Company,0.0022540443526902674,4598,6,0,4,1,27,0,0,0
257,Sino Rare Precious Metals Ltd,0.0022361566954591638,3073,6,0,3,1,60,0,1,0
258,Cicor Technologies Ltd,0.002177412603365149,1985,1,0,0,0,2,0,0,0
259,GemVax Technology Co Ltd,0.0021568851389222625,3007,5,0,0,13,0,0,3,0
260,"Gulf Resources, Inc.",0.002140145149524307,7471,9,0,15,16,1,0,1,0
261,DID Corporation,0.0021068778723171804,2270,1,0,0,0,2,0,0,0
262,Akzo Nobel N.V. (ADR),0.0020778361482902134,8479,4,0,2,16,10,0,2,0
263,Sitronix Technology Corp,0.0020254838537549264,2550,4,0,1,4,1,0,0,0
264,"Yunnan Luoping Zinc & Elec. Co., Ltd.",0.002023207125965026,4696,7,0,0,15,15,0,1,0
265,Molibdenos y Metales S.A.,0.002010919077284482,5774,9,0,3,16,94,0,1,0
266,China Northern Rare Earth Gp H-T Co Ltd,0.002005857505614127,5334,6,0,1,1,20,0,2,0
267,PixArt Imaging Inc.,0.0019749567412766116,3239,7,0,2,16,1,0,1,0
268,Malaysia Smelting Corporation Berhad,0.001966797214360255,4937,11,0,3,0,57,0,3,0
269,"Join Well Technology Co., Ltd.",0.0019312496729568837,2004,5,0,0,6,0,0,1,0
270,Flat Glass Group Co Ltd,0.0018308360152759972,3892,5,0,7,21,1,0,1,0
271,Gravita India Limited,0.0018226042765595674,5482,8,0,6,8,43,0,0,0
272,Manz AG,0.0018128013560242337,4598,5,0,1,2,1,0,1,0
273,Rebab Company SA Limited,0.001812411423847011,8044,8,0,8,49,62,0,3,0
274,Chelyabinskiy tsinkovyi zavod OAO,0.0017473490171799838,4275,8,0,0,3,64,0,0,0
