,name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
89,Sea Oil PCL,7.726322880894393e-05,2927,8,2,0,2,5,0,16,0,99
90,Materials Petroleum JSC,7.103751734873542e-05,2665,7,8,0,0,5,0,2,0,34
91,Forte Oil PLC,6.846919943640679e-05,5342,10,50,0,6,10,0,20,0,241
92,Vung Ang Petroleum Joint Stock Company,6.473610502499636e-05,7237,9,19,0,3,0,0,1,0,45
93,Cosmo Oil Co Ltd,5.971365902409961e-05,4766,9,6,0,8,10,0,13,0,267
94,Aldrees Petroleum &Transport Services,5.8794028813030385e-05,4425,11,39,0,2,1,0,2,0,35
95,Martin Midstream Partners L.P.,5.622557060619677e-05,8283,9,21,0,0,5,0,18,0,12
96,Ina dd,5.5862563012248206e-05,3915,7,15,0,1,3,0,20,0,81
97,Kontsern Halnaftohaz PAT,4.818040567045686e-05,3115,5,6,0,0,1,0,2,0,13
98,Esso Societe Anonyme Francaise,4.5169308150655784e-05,3443,7,6,0,0,0,0,10,0,28
99,BROAD GATE SA,4.2462825108265676e-05,6840,12,10,0,0,5,0,1,0,28
100,"Hankook Shell Oil Co., Ltd",4.233634471431445e-05,3869,9,7,0,1,4,0,14,0,104
101,Puma Energy Zambia PLC,4.120085636085805e-05,5428,11,9,0,0,3,0,30,0,54
102,Motor Oil (Hellas) Corinth Refineries SA,3.98336517557542e-05,3493,10,8,0,0,9,0,10,0,104
103,"FUJI KOSAN COMPANY, LTD.",3.9122592355450344e-05,3436,9,7,0,0,2,0,8,0,46
104,Neftemarket OAO,3.674771629827627e-05,3743,8,11,0,0,4,0,3,0,49
105,"Calumet Specialty Products Partners, L.P",3.482600905048954e-05,5429,10,26,0,0,9,0,28,0,99
106,SK Networks Co Ltd,3.3898937814902585e-05,4411,7,20,0,0,3,0,6,0,26
107,NNK - Khabarovsknefteprodukt AO,3.232612001502241e-05,6030,7,19,0,0,2,0,4,0,23
108,Vivo Energy Cote d'Ivoire SA,2.3606438105745747e-05,5311,10,61,0,1,1,0,12,0,9
109,Valero Energy Corporation,2.1896522621445047e-05,11739,11,84,0,3,4,0,3,0,100
110,Sinopec Shandong Taishan Petrolum Co Ltd,2.1465316869921878e-05,2100,7,3,0,0,1,0,0,0,28
111,Oman Oil Marketing Company SAOG,1.8424076261391907e-05,5311,12,50,0,1,2,0,28,0,174
112,Total Maroc SA,1.7706705408987275e-05,4223,8,11,0,0,1,0,8,0,54
113,Revoil S.A.,1.562122831350099e-05,3736,8,10,0,0,4,0,5,0,116
114,BP plc,1.2803698293905501e-05,18586,8,76,0,8,8,0,14,0,447
115,Joong Ang Enervis Co Ltd,1.031272851418251e-05,3259,7,6,0,0,1,0,1,0,41
116,Meghna Petroleum Ltd,9.756914811122716e-06,3804,13,23,0,0,0,0,7,0,67
117,Terminali a.d. Doboj,9.174562701821198e-06,26169,2,38,0,2,0,0,0,0,1
118,BP plc (ADR),8.571415493799683e-06,8979,9,40,0,1,2,0,6,0,159
119,Compania Logistica de Hidrocarbrs CLH SA,3.415565069688016e-06,7690,16,85,0,0,1,0,6,0,124
