name,score,document_length,url_count,accessories,acp,board test,consulting,dc power,dram,flash,foundry,infinity,logic,market,mmw,parametric,power system,radar,reliability test,repair,rf,signal integrity,software,specialty,test,vacuum system
High Co SA,0.0023938517868054097,3894,9,0,0,0,4,0,0,1,0,0,0,69,0,0,0,0,0,0,17,0,0,0,10,0
TRIAD GROUP PLC,0.0023907771703276523,3280,8,0,0,0,6,0,0,0,0,0,0,54,0,0,0,0,0,0,9,0,8,0,8,0
SDL plc,0.0023891456471166585,1962,10,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,22,0,5,0
MaKheiA Group SA,0.0023693813627225836,2711,9,0,0,0,3,0,0,1,0,0,0,40,0,0,0,0,0,0,14,0,0,0,3,0
"System Location Co., Ltd.",0.0023655643106583477,3017,11,0,0,0,3,0,0,1,0,0,0,26,0,0,0,0,0,0,13,0,2,0,7,0
Criteo SA (ADR),0.0023245050872619374,9138,13,0,0,0,0,0,0,1,0,0,3,156,0,0,0,0,0,0,64,0,6,0,9,0
Pironet NDH AG,0.002323091576225803,1906,5,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,5,0,4,0
Betacom SA,0.002321027171974268,4086,10,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,16,0,1,0
Daea TI Co Ltd,0.002300358449936032,3499,9,0,0,0,6,0,0,1,0,0,0,59,0,0,0,0,0,0,2,0,2,0,9,0
China Shipping Network Technology Co Ltd,0.002242672451002735,4702,10,0,0,0,3,0,0,1,0,0,0,39,0,0,0,0,0,0,3,0,7,0,9,0
Antevenio SA,0.002161167257954898,4615,9,0,0,0,0,0,0,2,0,0,0,51,0,0,0,0,0,0,14,0,6,0,3,0
DealerTrack Technologies Inc,0.002145548451739617,3355,12,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,14,0,10,0,3,0
Limas Indonesia Makmur Tbk PT,0.00213337645052123,2748,10,0,0,0,1,0,0,1,0,0,0,26,0,0,0,0,0,0,11,0,3,0,1,0
Issuer Direct Corp,0.002112080943978679,4937,10,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,7,0,10,0,4,0
Wuhan Guanggu Infrtn Tech Co Ltd,0.0020677308024264394,2877,9,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,3,0,3,0,5,0
Workforce Holdings Limited,0.002048981633046697,2751,11,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,2,0
Zhi Cheng Holdings Ltd,0.00203845681417144,4059,7,0,0,0,4,0,0,1,0,0,0,41,0,0,0,0,0,0,19,0,0,0,6,0
Assystem SA,0.0020215273639646028,4204,8,0,0,0,8,0,0,0,0,0,2,21,0,0,0,0,0,0,5,0,0,0,0,0
Agrivest Americas Inc,0.001967786484387809,5373,12,0,0,0,9,0,0,0,0,0,0,45,0,0,0,0,0,0,18,0,7,0,6,0
WPP PLC,0.0019458140252689297,6696,14,0,0,0,1,0,0,2,0,0,2,99,0,0,0,0,0,0,13,0,2,0,9,0
"VASCO Data Security International, Inc.",0.0019368215839121459,5418,9,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,12,0,23,0,7,0
Tianze Information Industry Inc,0.0019001749692403827,3668,8,0,0,0,0,0,0,1,0,0,0,76,0,0,0,0,0,0,3,0,9,0,8,0
WidePoint Corporation,0.0018856463092556685,3454,10,0,0,0,6,0,0,0,0,0,0,21,0,0,0,0,0,0,4,0,6,0,18,0
Senior Solution SA,0.0018502958559670644,4460,7,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,7,0,42,0,1,0
Galaxia SM Inc,0.001819948464978536,3206,10,0,0,0,11,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,8,0
FullSix SpA,0.0017748554566924897,2645,10,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,4,0,1,0,6,0
Jiangsu Province Comm P & D Inste Ltd Co,0.0017684478083230012,8641,7,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,12,0,1,0,7,0
Inly Media Co Ltd,0.0017508643398691155,4238,10,0,0,0,6,0,0,1,0,0,0,62,0,0,0,0,0,0,13,0,0,0,2,0
AXISCADES Engineering Technologies Ltd,0.0017505140388928296,6459,12,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,22,0,36,0,39,0
Przedsiebiorstwo Mdrnzc Urzdzn Ergtyzyh,0.0017299746021517467,24846,5,0,0,0,18,0,0,0,0,0,8,35,0,0,0,0,0,3,8,0,0,0,12,0
Privanet Sdn Bhd,0.0017293570790505133,5080,9,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,16,0,9,0
Invigor Group Ltd,0.0016857041674657733,3446,10,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,7,0,4,0,5,0
Digimatic Group Ltd,0.0016766607362800018,3074,8,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,20,0,7,0,1,0
Dohwa Engineering Co Ltd,0.0016732718781730508,3215,10,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,4,0
Nexus Enterprise Solutions Inc,0.0016588568159102085,4089,8,0,0,0,3,0,0,1,0,0,0,56,0,0,0,0,0,0,18,0,0,0,4,0
MSC Group AB,0.0016544358457540457,1063,6,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,5,0,0,0
Keyware Solutions Inc.,0.0016170216864487131,2597,9,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,13,0,12,0,3,0
FDM Group (Holdings) PLC,0.001596224045422715,6461,14,0,0,0,7,0,0,0,0,0,0,34,0,0,0,0,0,0,13,0,9,0,3,0
WPP PLC (ADR),0.0015614459084851602,14288,10,0,0,0,2,0,0,3,0,0,0,292,0,0,0,0,0,0,91,0,7,0,23,0
Mobile Network Group SA,0.0015518549821001973,2576,9,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,0,0,41,0,2,0,54,0
Dentsu Inc,0.0015383088474725728,12716,15,0,0,0,17,0,0,0,0,0,1,167,0,0,0,0,0,0,8,0,4,0,20,0
Netccentric Ltd,0.0015356884323685354,2822,8,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,4,0,1,0,4,0
Wallix Group SA,0.001535582743206117,5427,12,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,0,0,11,0,13,0,4,0
Gemini Communications Ltd.,0.001521717176126215,4574,8,0,0,0,9,0,0,0,0,0,0,43,0,0,0,0,0,0,24,0,0,0,11,0
Hopscotch Groupe SA,0.0015191107627751427,5299,9,0,0,0,2,0,0,2,0,0,0,48,0,0,0,0,0,0,15,0,2,0,10,0
Beijing Lw Marketing Comm Co Ltd,0.0014649703584328985,2471,6,0,0,0,5,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,4,0
ADL Partner SA,0.001456131153934645,3067,10,0,0,0,0,0,0,1,0,0,0,48,0,0,0,0,0,0,19,0,1,0,7,0
Fasteps Co Ltd,0.0014495923448798397,4848,13,0,0,0,8,0,0,0,0,0,0,89,0,0,0,0,0,0,23,0,2,0,8,0
Begbies Traynor Group plc,0.0014352811366409766,5067,10,0,0,0,9,0,0,0,0,0,0,57,0,0,0,0,0,0,11,0,1,0,4,0
Asia Corporate Development PCL,0.0014324326441404012,2857,7,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,5,0,8,0,3,0
Uangel Corp,0.0014077134709832714,2867,12,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,4,0
Cdialogues PLC,0.0013661898199867693,4084,13,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0,0,0,5,0,6,0,3,0
Intershop Communications AG,0.0013451844793143475,3068,12,0,0,0,3,0,0,0,0,0,0,33,0,0,0,0,0,0,14,0,8,0,2,0
Technovator International Ltd,0.0013398580124908063,3476,13,0,0,0,4,0,0,0,0,0,0,27,0,0,0,0,0,0,12,0,6,0,4,0
"Datang Telecom Technology Co., Ltd",0.0013379125792467436,3441,8,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,5,0,10,0,2,0
NS Solutions Corp,0.001313696138077253,1959,6,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,4,0,0,0
Palette Multimedia Berhad,0.0013115297428299318,5351,9,0,0,0,5,0,0,0,0,0,0,68,0,0,0,0,0,0,18,0,3,0,5,0
ORT Technologies Ltd,0.001303673299384677,2627,9,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,4,0,2,0,3,0
Itochu Techno-Solutions Corp,0.0013000032152726208,1775,10,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,1,0
Kyung Bong Co Ltd,0.0012910178299007224,4203,9,0,0,0,7,0,0,0,0,0,0,32,0,0,0,0,0,0,6,0,2,0,5,0
mTouche Technology Bhd,0.0012726616118818896,7715,12,0,0,0,3,0,0,1,0,0,0,93,0,0,0,0,0,0,2,0,6,0,17,0
Publicis Groupe SA (ADR),0.0012630694145515818,6020,9,0,0,0,4,0,0,1,0,0,0,81,0,0,0,0,0,0,15,0,0,0,8,0
Emefcy Group Ltd,0.0012484244919246444,7400,13,0,0,0,0,0,0,1,0,0,2,72,0,0,0,0,0,0,20,0,2,0,17,0
APEX Intl Financl Engg Res & Tech Co Ltd,0.0012406966883133773,6089,9,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0,0,0,16,0,20,0,4,0
Nextedia SA,0.0012187839467977762,2307,7,0,0,0,2,0,0,0,0,0,0,39,0,0,0,0,0,0,25,0,4,0,4,0
XLMedia PLC,0.0011856031860296831,2937,11,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0,0,0,20,0,2,0,3,0
Beijing Tensyn Digital Marketng Tech JSC,0.0011802771310789864,2914,9,0,0,0,0,0,0,1,0,0,0,96,0,0,0,0,0,0,13,0,1,0,3,0
"iPeople, Inc.",0.001134913236418508,5166,13,0,0,0,7,0,0,0,0,0,0,46,0,0,0,0,0,0,11,0,1,0,4,0
Chinanet Online Holdings Inc,0.001076183128615515,5157,10,0,0,0,4,0,0,1,0,0,0,58,0,0,0,0,0,0,18,0,0,0,2,0
